state,abbreviation,population,average_income_2018,average_income_2017,average_income_2016,average_vantagescore,average_credit_card_balance
Alabama,AL,198218,49861,48123,46257,654,5961
Alaska,AK,31275,74346,73181,76440,668,8516
Arizona,AZ,1660272,59246,56581,53558,669,6389
Arkansas,AR,193524,47062,45869,44334,657,5660
California,CA,508529,75277,71805,67739,680,6481
Colorado,CO,716492,71953,69117,65685,688,6718
Connecticut,CT,124775,76348,74168,73433,690,7258
Delaware,DE,36047,64805,62852,61757,672,6336
Florida,FL,181376,55462,52594,50860,668,6388
Georgia,GA,498044,58756,56183,53559,654,6675
Hawaii,HI,359870,80212,77765,74511,693,6981
Idaho,ID,205671,55583,52225,51807,681,5817
Illinois,IL,116250,65030,62992,60960,683,6410
Indiana,IN,867125,55746,54181,52314,667,5581
Iowa,IA,203433,59955,58570,56247,695,5155
Kansas,KS,127473,58218,56422,54935,680,6082
Kentucky,KY,25527,50247,48375,46659,663,5555
Louisiana,LA,225374,47905,46145,45146,650,6074
Maine,ME,19136,55602,55277,53079,689,5784
Maryland,MD,38394,83242,80776,78945,672,7043
Massachusetts,MA,694583,79835,77385,75297,699,6327
Michigan,MI,114297,56697,54909,52491,677,5622
Minnesota,MN,285068,70315,68388,65599,709,5911
Mississippi,MS,173514,44717,43529,41754,647,5421
Missouri,MO,43079,54478,53578,51746,675,5897
Montana,MT,28190,55328,53386,50027,689,5845
Nebraska,NE,258379,59566,59970,56927,695,5630
Nevada,NV,55274,58646,58003,55180,655,6401
New Hampshire,NH,42695,74991,73381,70936,701,6490
New Jersey,NJ,84913,81740,80088,76126,686,7151
New Mexico,NM,75764,47169,46744,46748,659,6317
New York,NY,97856,67844,64894,62909,688,6671
North Carolina,NC,403892,53855,52752,50584,686,6117
North Dakota,ND,61272,63837,61843,60656,697,5511
Ohio,OH,892553,56111,54021,52344,678,5843
Oklahoma,OK,649021,51924,50051,49176,656,6296
Oregon,OR,154637,63426,60212,57532,688,6012
Pennsylvania,PA,49528,60905,59105,56907,687,6146
Rhode Island,RI,178042,64340,63870,60596,687,6375
South Carolina,SC,129272,52306,50570,49501,657,6157
South Dakota,SD,13646,56274,56521,54467,700,5692
Tennessee,TN,691243,52375,51340,48547,662,5975
Utah,UT,186440,71414,65358,65977,683,5960
Vermont,VT,7855,60782,57513,57677,702,5924
Virginia,VA,204214,72577,71535,68114,680,7161
Washington,WA,46478,74073,70979,67106,693,6592
West Virginia,WV,51400,44097,43469,43385,658,5547
Wisconsin,WI,258054,60773,59305,56811,696,5363
Wyoming,WY,59466,61584,60434,59882,678,6245
